MachineID,MachineModel,ServicePeriod,error1_avg,error2_avg,error3_avg,error4_avg,error5_avg,Comp_Timelapse_diff_errors,RecentError,MostOccuredError,comp_1_replace_avg,comp_2_replace_avg,comp_3_replace_avg,comp_4_replace_avg,Comp_Timelapse_diff_replace,RecentReplacedComp,MostReplacedComp,comp1_repair_avg,comp2_repair_avg,comp3_repair_avg,comp4_repair_avg,Comp_Timelapse_diff_repair,RecentRepaired,MostRepairedComponent,Sensor1_max,Sensor2_max,Sensor3_max,Sensor4_max,Sensor1_min,Sensor2_min,Sensor3_min,Sensor4_min,Sensor1_mean,Sensor2_mean,Sensor3_mean,Sensor4_mean,ActionPoint
MID11099,model3,20,75.0,52.5,39.51,0.0,48.0,21.82,error4,error5,75.0,52.5,0.0,48.0,30.0,Component4,Component4,36.25,75.83,49.38,41.88,16.17,Component3,Component1,239.99,629.25,165.86,65.09,118.84,179.88,59.44,20.71,170.56,446.72,100.69,40.6,ComponentRepair
MID11100,model3,20,104.11,0.0,83.86,0.0,65.0,28.39,error1,error1,90.0,0.0,0.0,56.78,52.85,Component1,Component4,51.25,33.5,38.0,33.6,13.13,Component1,Component4,226.07,678.26,152.55,66.26,120.51,220.85,64.72,21.27,170.66,447.24,100.75,40.47,ComponentRepair
MID11101,model4,19,51.4,37.5,37.5,0.0,54.0,21.92,error1,error5,0.0,37.5,0.0,54.0,35.62,Component1,Component4,48.5,65.6,53.29,51.14,14.93,Component2,Component1,230.44,649.78,157.84,66.29,116.32,230.42,62.48,23.24,170.58,447.91,100.82,40.68,ComponentRepair
MID11102,model1,19,0.0,15.0,15.0,55.0,82.5,27.5,error5,error5,0.0,15.0,55.0,82.5,36.67,Component4,Component4,21.64,50.67,17.4,53.67,15.48,Component4,Component1,234.53,631.46,153.48,64.85,104.5,220.59,67.77,21.94,170.63,446.63,101.13,40.55,ComponentRepair
MID11103,model3,19,90.0,105.0,105.0,0.0,85.0,31.5,error2,error5,90.0,105.0,0.0,72.28,39.89,Component2,Component4,29.78,49.67,43.6,41.86,13.56,Component2,Component1,239.1,644.79,161.3,64.16,116.33,222.53,60.52,20.05,170.99,446.79,100.74,40.68,ComponentRepair
MID11104,model4,19,67.5,50.0,50.0,0.0,71.25,20.36,error5,error1,67.5,50.0,0.0,71.25,25.91,Component4,Component1,39.67,64.5,96.0,25.73,14.86,Component4,Component4,230.77,658.78,151.74,70.76,115.12,218.51,55.02,21.54,170.77,446.14,100.72,40.56,ComponentRepair
MID11105,model4,20,0.0,0.0,22.96,57.36,63.75,25.5,error5,error5,0.0,0.0,0.0,63.75,42.5,Component4,Component4,33.86,51.0,36.5,37.25,13.13,Component4,Component3,237.19,649.75,152.05,63.9,116.08,257.02,55.97,20.83,170.57,447.19,100.66,40.42,ComponentRepair
MID11106,model3,20,0.0,81.86,37.38,13.54,67.5,19.45,error4,error3,0.0,0.0,0.0,67.5,45.0,Component4,Component4,48.25,80.5,55.75,34.56,16.52,Component3,Component4,233.0,630.96,154.56,65.2,114.51,209.23,66.29,22.05,170.77,446.59,100.66,40.54,ComponentRepair
MID11107,model4,20,0.0,0.0,29.34,0.0,50.0,33.92,error4,error5,0.0,0.0,0.0,50.0,46.22,Component4,Component4,51.67,96.25,59.17,29.75,18.5,Component3,Component4,232.04,644.45,155.94,75.04,109.73,176.93,63.86,20.01,170.41,447.19,100.83,40.57,ComponentRepair
MID11108,model1,20,65.0,52.5,52.5,97.5,52.5,21.82,error1,error1,65.0,52.5,97.5,52.5,26.67,Component1,Component1,47.67,81.0,49.0,55.8,17.88,Component1,Component1,240.86,623.31,152.39,62.86,105.88,227.66,62.77,23.24,171.32,447.29,101.15,40.43,ComponentRepair
MID11111,model4,20,54.74,55.0,55.0,0.0,53.89,20.0,error3,error5,0.0,55.0,0.0,60.0,37.5,Component2,Component4,29.71,40.75,32.6,41.6,13.45,Component1,Component1,234.06,673.95,152.57,66.92,113.26,215.78,66.61,19.54,170.78,446.48,100.59,40.62,ComponentRepair
MID11112,model3,19,0.0,52.5,52.5,0.0,95.0,35.62,error5,error5,0.0,52.5,0.0,95.0,57.0,Component4,Component4,46.11,57.14,43.18,56.6,14.81,Component1,Component3,233.93,637.22,148.71,63.38,106.38,233.79,58.9,22.11,170.16,446.68,100.46,40.48,NoIssue
MID11114,model1,20,37.5,36.0,36.0,48.0,57.0,13.64,error5,error2,37.5,36.0,80.0,57.0,20.0,Component4,Component2,57.4,45.12,30.1,65.88,16.94,Component4,Component3,228.98,631.76,163.11,63.94,113.58,200.69,63.76,21.5,170.4,445.63,101.15,40.53,ComponentRepair
MID11115,model3,20,123.48,0.0,0.0,0.0,85.0,57.0,error5,error5,0.0,0.0,0.0,85.0,71.25,Component4,Component4,30.1,60.17,46.78,43.25,13.67,Component4,Component1,229.33,622.11,152.82,68.19,118.84,217.69,61.82,19.94,171.04,447.93,100.82,40.5,ComponentRepair
MID11116,model3,20,0.0,20.52,104.12,0.0,70.0,33.12,error1,error5,0.0,0.0,0.0,70.0,56.25,Component2,Component4,97.33,18.82,70.4,38.2,16.21,Component2,Component4,234.66,628.64,155.6,62.43,113.48,257.36,64.86,21.65,170.53,447.6,101.01,40.28,ComponentRepair
MID11118,model2,20,80.0,56.25,40.88,97.5,95.0,17.5,error2,error3,80.0,56.25,97.5,95.0,26.25,Component2,Component2,35.83,74.29,44.38,71.67,15.76,Component2,Component1,231.44,624.14,156.36,69.36,113.17,221.85,63.4,19.85,170.91,445.07,100.99,40.54,ComponentRepair
MID11119,model1,20,0.0,0.0,92.96,75.0,56.25,25.0,error4,error4,0.0,0.0,75.0,73.03,34.12,Component3,Component3,37.89,14.6,44.6,50.12,13.91,Component3,Component3,235.64,630.56,149.42,65.6,119.89,200.12,59.41,23.71,170.51,446.51,101.47,40.51,ComponentReplacement
MID11120,model2,20,50.0,52.5,70.0,51.0,30.0,16.76,error2,error4,50.0,70.0,51.0,30.0,21.92,Component2,Component3,55.5,82.8,38.62,83.0,18.5,Component2,Component1,234.77,625.74,154.63,63.52,112.84,223.96,62.82,18.7,170.88,445.72,101.37,40.32,ComponentRepair
MID11121,model4,19,30.0,41.98,24.86,0.0,45.0,24.1,error3,error3,30.0,0.0,0.0,45.0,48.0,Component2,Component1,44.0,84.5,42.25,107.67,22.18,Component2,Component3,229.89,630.16,147.2,62.98,99.2,222.27,65.0,21.03,170.72,445.8,100.62,40.42,NoIssue
MID11122,model4,19,112.5,30.0,30.0,0.0,46.69,18.82,error2,error5,103.71,30.0,0.0,65.0,36.24,Component2,Component1,31.5,36.67,51.67,112.5,15.0,Component3,Component1,233.91,633.31,151.79,64.33,114.04,225.85,63.52,20.98,170.81,445.98,100.69,40.49,ComponentRepair
MID11123,model3,19,40.18,76.75,30.0,0.0,100.0,25.0,error5,error1,0.0,45.0,0.0,67.5,51.0,Component2,Component2,16.86,162.33,49.5,37.44,19.07,Component3,Component4,229.03,645.31,148.92,68.15,116.36,206.6,56.83,21.01,170.78,447.74,100.47,40.37,NoIssue
MID11124,model3,20,0.0,68.21,0.0,0.0,45.0,27.4,error2,error5,0.0,0.0,0.0,54.0,38.57,Component4,Component4,40.33,75.83,54.29,45.56,14.68,Component1,Component1,236.57,638.95,150.04,73.6,108.74,247.54,58.46,19.86,170.62,447.69,100.73,40.49,NoIssue
MID11125,model3,19,79.25,15.0,15.0,0.0,51.0,25.0,error5,error5,82.5,15.0,0.0,63.75,37.5,Component4,Component4,30.27,55.22,56.0,62.43,15.44,Component1,Component1,239.02,611.95,167.48,66.52,121.75,176.36,57.76,19.2,170.5,446.38,100.88,40.45,ComponentRepair
MID11126,model4,20,44.36,15.0,15.0,0.0,70.0,31.52,error5,error5,0.0,15.0,0.0,70.0,35.0,Component4,Component4,54.0,39.33,41.0,73.8,14.28,Component4,Component2,237.03,651.63,145.21,68.95,116.32,216.42,63.25,21.86,170.79,447.12,100.96,40.48,ComponentRepair
MID11129,model4,19,50.0,9.02,0.0,0.0,45.0,30.0,error1,error5,75.0,0.0,0.0,45.0,50.0,Component1,Component4,37.25,54.29,50.44,36.4,13.74,Component1,Component4,239.46,629.87,148.12,66.54,116.21,249.01,64.83,23.33,170.88,447.29,100.64,40.47,ComponentRepair
MID11131,model3,20,13.94,0.0,18.69,0.0,75.0,33.75,error2,error5,0.0,0.0,0.0,75.0,54.0,Component2,Component4,46.6,60.33,29.8,48.0,14.97,Component3,Component3,235.65,630.99,149.16,65.26,117.84,244.7,63.64,17.5,170.42,447.71,100.8,40.54,NoIssue
MID11132,model4,19,0.0,30.0,23.93,0.0,47.5,19.0,error5,error5,0.0,30.0,0.0,57.0,35.62,Component4,Component4,89.6,44.71,42.57,36.44,17.04,Component3,Component4,227.52,630.53,157.27,62.41,114.25,220.44,63.55,20.66,170.38,446.7,100.93,40.67,ComponentRepair
MID11134,model3,20,29.03,0.0,128.0,0.0,63.75,23.75,error5,error1,35.0,0.0,0.0,63.75,35.62,Component4,Component4,46.0,38.12,49.9,31.62,16.06,Component3,Component3,230.71,642.19,156.7,69.31,123.61,238.83,65.93,22.19,171.01,447.16,100.58,40.52,ComponentRepair
MID11135,model4,19,42.25,75.0,75.0,0.0,85.0,23.75,error5,error1,0.0,75.0,0.0,85.0,40.71,Component4,Component2,55.33,56.62,48.0,39.2,15.03,Component2,Component4,230.07,647.65,146.16,69.02,111.58,199.87,64.04,22.31,170.3,445.47,100.89,40.43,ComponentRepair
MID11136,model2,20,64.31,0.0,0.0,45.0,60.0,20.0,error5,error4,45.0,0.0,56.25,60.0,25.0,Component4,Component4,65.2,61.57,41.22,37.25,15.86,Component4,Component3,236.75,634.76,160.33,65.71,111.68,204.72,63.61,21.19,171.01,447.0,101.26,40.6,ComponentRepair
MID11137,model4,19,0.0,63.75,63.75,0.0,78.75,25.38,error5,error2,0.0,63.75,0.0,78.75,41.25,Component4,Component2,29.0,45.22,48.25,34.45,12.14,Component4,Component1,242.35,618.37,150.77,66.57,116.18,206.43,61.53,21.67,170.57,445.55,100.82,40.58,ComponentRepair
MID11138,model4,20,35.23,65.0,65.0,0.0,75.0,23.08,error5,error5,0.0,65.0,0.0,75.0,37.5,Component4,Component4,37.27,24.69,78.5,60.62,13.13,Component3,Component2,272.68,627.56,155.44,65.92,118.38,208.04,64.14,22.57,170.47,445.73,101.04,40.56,ComponentRepair
MID11139,model3,19,67.5,40.0,60.0,73.79,67.5,19.0,error5,error1,90.0,60.0,0.0,67.5,31.67,Component4,Component4,60.25,47.57,38.36,54.14,14.97,Component3,Component3,240.84,619.63,149.49,70.79,114.66,231.12,62.09,21.86,170.76,445.84,100.68,40.6,ComponentRepair
MID11140,model3,20,30.0,35.0,35.0,0.0,65.0,30.0,error3,error2,30.0,35.0,0.0,65.0,41.25,Component2,Component2,65.83,49.67,33.5,39.29,15.59,Component2,Component3,228.25,645.57,154.41,67.12,115.76,239.09,60.94,19.64,170.84,446.81,100.73,40.43,NoIssue
MID11141,model4,19,26.18,37.5,73.11,0.0,61.54,25.04,error3,error5,37.5,37.5,0.0,83.37,35.73,Component4,Component4,67.33,52.38,51.56,35.5,14.97,Component3,Component3,241.33,633.83,171.91,65.53,109.84,216.47,66.77,21.74,170.71,446.8,100.62,40.46,NoIssue
MID11143,model3,18,0.0,43.92,46.09,0.0,54.0,16.2,error5,error2,0.0,50.02,0.0,54.0,29.51,Component4,Component2,53.6,31.4,34.0,44.89,13.94,Component3,Component2,241.22,620.17,146.21,63.07,114.4,182.53,67.17,21.23,170.52,445.2,100.69,40.5,ComponentRepair
MID11144,model4,18,0.0,40.0,70.43,0.0,71.25,26.25,error2,error3,0.0,60.0,0.0,71.25,45.0,Component2,Component4,35.78,35.78,42.0,33.6,10.56,Component2,Component1,228.89,636.24,149.87,64.11,116.57,243.57,63.34,21.41,170.77,446.79,100.51,40.52,ComponentRepair
MID11145,model4,18,0.0,22.5,22.5,0.0,48.0,25.5,error1,error5,0.0,22.5,0.0,48.0,31.88,Component1,Component4,31.2,60.71,78.33,49.25,17.0,Component1,Component1,237.85,612.43,153.99,62.7,119.02,244.14,64.37,16.22,170.55,446.29,100.55,40.43,ComponentRepair
MID11146,model4,19,66.32,100.75,0.0,0.0,50.0,21.0,error5,error5,60.0,0.0,0.0,50.0,35.0,Component4,Component4,20.18,70.0,42.17,54.43,15.59,Component4,Component1,234.25,622.98,151.04,65.1,116.76,233.13,64.38,19.92,170.79,446.45,100.65,40.68,ComponentRepair
MID11147,model3,19,37.46,75.0,56.25,0.0,110.0,23.57,error5,error3,0.0,75.0,0.0,110.0,47.14,Component4,Component2,35.82,47.86,37.22,94.0,14.66,Component4,Component1,232.56,636.91,150.91,63.77,114.5,202.98,60.51,21.87,170.54,445.19,100.43,40.4,ComponentRepair
MID11148,model3,19,45.0,67.62,53.42,0.0,75.0,23.08,error5,error1,45.0,0.0,0.0,64.22,32.11,Component4,Component4,46.25,63.33,36.36,37.78,13.39,Component1,Component3,231.09,645.83,149.23,67.12,108.9,237.65,65.67,20.02,170.96,448.98,100.7,40.55,ComponentReplacement
MID11150,model2,19,0.0,86.06,0.0,67.5,60.0,25.0,error5,error4,0.0,14.56,67.5,60.0,29.92,Component4,Component3,51.0,40.8,33.56,62.0,16.5,Component4,Component2,233.17,625.51,154.55,65.51,112.66,229.15,56.5,20.87,170.9,448.42,101.19,40.47,ComponentReplacement
MID11151,model3,19,0.0,30.0,27.04,0.0,90.0,31.67,error1,error3,0.0,87.37,0.0,90.0,46.02,Component1,Component2,47.6,31.1,55.14,66.83,15.36,Component4,Component2,227.74,642.37,155.67,65.22,119.78,218.29,57.99,20.8,170.54,446.82,100.88,40.53,ComponentRepair
MID11152,model2,19,60.0,33.75,58.2,60.0,60.0,16.58,error1,error3,80.0,33.75,60.0,60.0,24.23,Component1,Component2,33.11,25.73,52.62,116.75,14.97,Component3,Component2,232.7,637.04,165.12,65.06,119.34,178.07,60.0,20.71,171.07,445.72,101.61,40.34,ComponentRepair
MID11154,model3,18,0.0,0.0,0.0,0.0,85.0,36.43,error5,error5,0.0,0.0,0.0,85.0,56.02,Component4,Component4,38.8,56.8,51.56,40.4,16.0,Component4,Component4,247.8,640.78,157.21,64.53,116.63,251.34,63.59,19.95,170.72,447.68,100.61,40.42,ComponentRepair
MID11155,model2,18,77.16,135.0,135.0,63.75,60.0,20.58,error1,error1,85.0,135.0,63.75,60.0,23.75,Component1,Component3,52.88,41.89,41.89,53.0,13.16,Component1,Component1,226.2,639.88,159.79,68.89,118.96,215.89,64.68,20.49,171.13,447.11,101.4,40.53,ComponentReplacement
MID11157,model2,18,60.0,60.26,48.95,75.51,70.0,19.86,error3,error3,60.0,82.5,55.0,70.0,27.0,Component3,Component3,42.1,60.14,66.57,43.25,15.03,Component1,Component1,232.38,650.6,155.0,62.46,112.15,253.39,64.0,22.91,170.76,447.57,101.27,40.44,ComponentRepair
MID11159,model1,19,55.0,50.0,50.0,60.0,71.25,17.81,error5,error5,55.0,50.0,60.0,71.25,21.92,Component4,Component4,37.5,67.5,108.75,46.67,16.55,Component4,Component1,232.41,656.01,158.11,68.03,115.87,234.21,61.7,23.93,170.69,446.1,101.12,40.53,ComponentRepair
MID11160,model4,19,0.0,57.0,40.71,0.0,90.0,16.76,error3,error3,0.0,57.0,0.0,90.0,35.62,Component4,Component2,29.88,35.38,59.86,28.3,12.64,Component3,Component4,231.84,634.73,155.66,71.23,116.24,226.9,62.78,20.66,170.48,445.81,100.72,40.51,ComponentRepair
MID11162,model3,19,52.5,105.0,105.0,0.0,0.0,30.0,error2,error1,52.5,105.0,0.0,0.0,42.0,Component2,Component1,77.0,46.33,42.17,52.0,18.19,Component2,Component2,230.95,615.45,154.87,60.64,108.3,227.91,59.46,22.86,170.61,446.67,100.65,40.39,NoIssue
MID11163,model3,18,120.0,52.5,63.0,0.0,75.0,18.53,error3,error2,120.0,63.0,0.0,75.0,28.64,Component2,Component2,50.0,34.5,52.5,50.62,14.55,Component2,Component2,232.6,615.93,152.18,65.23,119.27,220.83,63.61,21.71,170.92,445.56,100.82,40.55,ComponentRepair
MID11164,model3,19,33.9,60.0,60.0,0.0,95.0,23.75,error5,error2,0.0,60.0,0.0,95.0,47.5,Component4,Component2,44.6,74.0,21.14,50.12,15.34,Component1,Component1,235.54,660.35,149.31,63.36,109.32,225.79,63.11,19.95,170.49,446.11,100.43,40.54,ComponentRepair
MID11165,model4,19,45.0,52.5,70.0,0.0,127.5,23.18,error5,error2,45.0,63.53,0.0,127.5,37.39,Component4,Component2,70.5,28.83,58.14,84.33,17.11,Component2,Component2,228.21,663.5,152.56,64.32,115.75,152.14,66.01,19.98,170.58,445.84,100.76,40.36,ComponentRepair
MID11167,model4,19,58.22,50.0,60.0,0.0,45.0,16.67,error2,error2,0.0,60.0,0.0,45.0,33.33,Component2,Component2,41.5,40.22,25.29,30.29,12.1,Component3,Component2,228.55,623.93,144.81,65.2,116.26,230.88,61.19,20.67,170.66,445.81,100.45,40.52,ComponentReplacement
MID11168,model3,18,60.0,60.14,43.05,0.0,60.0,18.79,error5,error3,79.03,25.0,0.0,60.0,30.1,Component4,Component1,63.8,33.5,78.33,69.29,17.29,Component3,Component2,240.14,640.67,147.06,62.68,118.28,220.27,65.44,24.2,171.06,447.1,100.75,40.39,ComponentRepair
MID11169,model2,19,0.0,76.13,82.5,112.5,45.0,20.77,error5,error5,0.0,82.5,112.5,56.25,30.0,Component4,Component4,37.83,62.43,26.33,27.88,14.47,Component2,Component2,240.19,632.56,148.72,62.53,115.98,204.41,62.79,22.96,170.7,446.29,101.04,40.47,ComponentRepair
MID11170,model2,19,70.0,0.0,0.0,75.0,50.0,21.82,error4,error1,70.0,0.0,112.5,50.0,26.67,Component3,Component1,46.0,73.75,50.6,47.5,16.34,Component4,Component1,227.56,638.95,157.67,65.96,112.7,211.8,57.41,21.43,170.56,447.49,101.06,40.59,ComponentRepair
MID11171,model3,19,52.36,89.22,85.0,0.0,75.0,22.31,error2,error1,37.5,127.5,0.0,75.0,36.43,Component2,Component4,39.67,69.83,35.9,95.8,18.81,Component3,Component3,239.69,616.02,155.86,65.55,119.47,188.7,62.22,23.47,170.65,446.81,100.96,40.49,ComponentRepair
MID11173,model2,18,39.52,75.0,75.0,45.0,60.0,18.75,error5,error5,35.06,75.0,83.37,60.0,23.86,Component4,Component4,59.86,46.56,63.5,64.83,18.42,Component2,Component2,230.68,628.25,176.74,65.33,104.37,228.44,66.53,18.22,170.7,446.38,100.86,40.6,ComponentRepair
MID11174,model3,18,50.0,67.5,67.5,0.0,63.75,24.55,error5,error5,75.0,64.71,0.0,63.75,36.57,Component4,Component4,47.57,51.86,46.7,43.6,14.56,Component4,Component3,227.09,668.7,153.9,64.72,117.29,208.28,61.31,20.56,170.6,448.67,100.77,40.55,ComponentReplacement
MID11175,model2,19,33.0,146.66,107.54,51.0,45.0,16.67,error3,error1,82.5,0.0,63.75,60.0,30.0,Component2,Component3,27.88,81.2,37.0,53.44,14.97,Component2,Component3,231.83,619.15,166.62,68.14,114.42,261.69,57.64,20.57,170.53,447.92,101.11,40.54,ComponentRepair
MID11176,model4,18,30.0,0.0,20.62,0.0,48.75,26.77,error5,error5,45.0,0.0,0.0,61.82,38.64,Component4,Component4,44.6,42.88,72.17,46.86,16.62,Component4,Component2,233.73,622.7,148.45,64.59,115.57,153.76,63.85,20.42,171.06,447.43,100.47,40.5,NoIssue
MID11177,model4,19,63.46,36.0,45.0,0.0,90.0,17.63,error1,error1,91.37,42.82,0.0,90.0,26.28,Component4,Component2,41.86,33.45,78.83,88.6,16.31,Component3,Component2,232.99,626.92,150.84,61.96,115.77,228.25,61.96,21.01,170.73,445.99,100.5,40.45,ComponentRepair
MID11178,model3,19,43.98,80.0,85.44,15.57,52.5,19.09,error3,error5,0.0,120.0,0.0,52.5,38.57,Component2,Component4,46.78,54.75,34.36,58.29,13.31,Component3,Component3,232.13,633.01,149.12,64.21,109.34,228.5,51.54,20.91,170.8,447.5,100.84,40.51,ComponentReplacement
MID11179,model3,17,90.0,71.25,47.5,0.0,45.21,16.67,error1,error3,100.71,71.25,0.0,65.0,30.21,Component1,Component2,40.67,31.33,80.83,31.0,17.14,Component1,Component1,228.24,657.03,152.44,76.98,118.52,212.05,61.36,22.01,170.84,445.58,100.66,40.37,NoIssue
MID11180,model2,18,127.5,50.0,59.27,38.08,60.0,16.67,error5,error4,127.5,50.0,60.0,60.0,25.0,Component4,Component4,41.78,52.75,87.4,68.86,17.1,Component4,Component1,227.17,670.72,183.71,64.8,116.52,236.76,64.59,23.26,170.9,446.43,101.42,40.61,ComponentRepair
MID11182,model4,18,67.5,90.0,67.5,0.0,52.5,23.08,error5,error3,67.5,74.78,0.0,70.0,36.57,Component4,Component2,55.75,41.78,38.92,65.88,15.85,Component4,Component3,243.63,629.91,157.13,72.52,105.43,213.02,63.21,24.15,170.71,446.29,100.75,40.49,ComponentReplacement
MID11183,model3,17,90.0,0.0,0.0,0.0,67.5,38.99,error4,error1,90.0,0.0,0.0,67.5,45.0,Component1,Component1,46.0,99.5,27.8,53.83,14.75,Component1,Component3,237.2,628.02,155.3,61.13,113.66,242.17,61.87,21.99,171.13,447.41,100.25,40.36,NoIssue
MID11184,model3,17,37.5,37.5,37.5,8.41,80.0,25.91,error2,error5,37.5,37.5,0.0,80.0,40.71,Component2,Component4,60.0,28.3,82.5,81.0,18.71,Component2,Component2,232.25,655.99,151.29,64.16,111.16,185.48,64.39,21.18,170.82,446.63,100.48,40.42,NoIssue
MID11185,model3,18,0.0,67.14,0.0,0.0,75.0,31.5,error2,error2,0.0,31.06,0.0,68.03,38.88,Component4,Component4,28.78,85.2,69.43,28.0,18.58,Component3,Component1,234.29,625.09,151.16,68.36,113.6,210.1,64.12,22.68,170.78,447.7,100.8,40.52,NoIssue
MID11187,model3,18,51.01,40.0,30.0,0.0,55.0,19.13,error1,error1,106.37,40.0,0.0,55.0,35.46,Component1,Component1,53.83,39.8,55.75,36.8,14.73,Component3,Component2,244.31,637.4,167.73,66.52,119.5,226.0,64.96,18.24,170.8,446.94,100.75,40.56,ComponentRepair
MID11188,model3,18,46.94,0.0,0.0,0.0,56.25,28.12,error5,error5,0.0,0.0,0.0,59.82,49.85,Component4,Component4,28.82,63.4,51.71,53.0,12.93,Component1,Component1,234.11,619.86,162.94,63.56,108.86,214.43,63.44,20.47,170.61,447.47,100.75,40.51,ComponentRepair
MID11191,model4,17,25.81,30.0,45.0,0.0,67.5,28.64,error5,error5,0.0,45.0,0.0,67.5,45.0,Component4,Component4,57.5,50.6,40.5,33.5,14.93,Component4,Component3,234.04,624.26,149.51,63.78,112.59,226.09,53.83,21.49,170.74,446.94,100.59,40.53,ComponentRepair
MID11192,model4,17,41.25,0.0,33.35,0.0,30.0,26.67,error1,error1,55.0,88.56,0.0,30.0,42.45,Component1,Component1,62.0,57.67,25.43,19.33,21.83,Component2,Component1,241.85,627.77,153.37,64.91,118.26,228.85,56.67,20.13,171.12,446.98,100.62,40.42,ComponentRepair
MID11193,model4,18,25.19,50.0,37.5,18.05,30.0,12.86,error3,error3,0.0,50.0,0.0,30.0,30.0,Component2,Component2,31.5,48.44,66.71,84.4,18.07,Component2,Component2,233.91,628.78,154.07,68.3,115.4,225.86,60.63,20.35,170.77,447.15,100.43,40.39,NoIssue
MID11194,model4,17,57.98,40.0,40.0,0.0,48.75,18.12,error1,error1,67.5,52.28,0.0,48.75,23.68,Component1,Component1,65.5,32.73,31.23,65.5,12.86,Component3,Component3,239.73,632.63,163.64,64.24,106.19,221.55,58.34,17.87,171.06,445.9,100.59,40.55,ComponentRepair
MID11195,model3,18,41.82,55.0,41.25,0.0,95.0,20.36,error5,error1,0.0,55.0,0.0,95.0,40.71,Component4,Component2,46.78,52.62,36.1,49.67,14.09,Component4,Component3,241.37,659.63,175.33,65.22,115.75,203.08,60.2,23.59,170.39,446.23,100.72,40.6,ComponentRepair
MID11196,model3,17,48.75,0.0,79.9,0.0,60.0,28.16,error5,error1,97.5,0.0,0.0,62.02,38.76,Component4,Component4,71.8,31.56,40.82,56.12,14.06,Component4,Component3,236.74,632.38,153.65,65.06,107.08,231.63,61.66,21.55,170.93,448.03,100.48,40.43,NoIssue
MID11197,model4,18,0.0,41.25,27.62,0.0,71.25,19.0,error5,error3,0.0,41.25,0.0,71.25,35.62,Component4,Component2,113.33,33.64,29.67,35.38,13.68,Component1,Component2,242.22,629.31,164.37,64.2,112.5,178.17,60.42,20.97,170.76,445.77,100.81,40.59,ComponentRepair
MID11198,model3,18,31.58,52.94,60.0,0.0,82.5,18.91,error2,error2,37.5,60.0,0.0,74.37,33.52,Component2,Component2,71.75,35.64,25.73,54.2,12.58,Component2,Component2,236.96,632.36,172.64,67.13,118.18,187.99,63.3,21.69,170.74,445.46,100.76,40.38,ComponentReplacement
MID11199,model2,17,30.0,39.0,39.0,50.0,63.75,13.64,error4,error4,30.0,48.75,60.0,85.0,21.43,Component3,Component3,71.6,44.75,42.57,54.12,16.5,Component1,Component2,235.62,640.3,160.05,64.67,114.58,224.94,58.0,22.35,170.66,445.81,101.53,40.46,ComponentRepair
MID11200,model2,18,64.85,30.0,30.0,72.4,0.0,24.14,error4,error4,0.0,30.0,82.5,0.0,42.5,Component2,Component2,49.33,41.0,36.9,31.8,14.82,Component3,Component3,235.42,665.17,151.41,63.48,88.98,219.71,64.79,19.33,170.69,446.07,101.09,40.33,ComponentRepair
MID11201,model3,18,80.0,45.0,68.87,0.0,60.0,26.25,error5,error5,120.0,45.0,0.0,60.0,39.38,Component4,Component4,68.71,57.67,23.58,34.0,16.38,Component4,Component3,227.82,657.76,155.06,63.98,112.33,246.33,64.54,17.64,170.87,448.05,100.53,40.56,ComponentRepair
MID11202,model4,18,0.0,60.0,60.0,5.54,70.0,20.77,error5,error2,0.0,60.0,0.0,70.0,38.57,Component4,Component2,49.89,47.0,38.9,62.0,14.52,Component3,Component3,233.17,637.33,151.0,69.29,113.05,226.11,58.38,18.85,170.86,445.64,100.51,40.52,ComponentReplacement
MID11203,model2,18,0.0,67.5,67.5,45.0,85.0,18.53,error4,error4,0.0,90.0,54.0,85.0,28.64,Component3,Component3,-1.0,44.0,67.43,54.0,19.04,Component3,Component2,233.94,622.28,158.94,66.19,117.48,160.74,59.47,21.75,170.73,446.59,101.57,40.47,NoIssue
MID11204,model3,17,115.02,90.0,90.0,0.0,45.0,27.39,error1,error2,0.0,90.0,0.0,67.28,42.73,Component2,Component4,23.29,47.0,41.14,42.45,14.52,Component1,Component4,235.28,626.56,155.98,65.16,100.11,187.35,60.66,22.07,170.8,446.08,100.83,40.43,ComponentRepair
MID11206,model4,17,90.0,0.0,0.0,0.0,75.0,42.5,error1,error5,90.0,0.0,0.0,75.0,51.0,Component1,Component4,46.2,57.43,64.5,72.0,15.93,Component2,Component1,230.97,639.99,149.51,63.98,113.31,246.82,63.07,21.11,170.96,448.17,100.87,40.46,NoIssue
MID11207,model4,18,45.0,97.54,32.11,0.0,60.0,26.6,error2,error2,45.0,15.0,0.0,60.0,25.71,Component4,Component4,73.6,16.44,56.33,27.09,14.23,Component4,Component4,240.87,639.54,151.09,68.62,111.35,222.52,64.49,16.54,170.73,446.88,100.88,40.47,NoIssue
MID11208,model2,18,30.0,112.5,112.5,60.0,48.0,20.0,error5,error5,30.0,112.5,60.0,48.0,23.08,Component4,Component4,54.6,78.0,46.78,65.33,18.46,Component4,Component3,235.59,620.04,155.81,63.25,113.43,269.03,60.37,22.81,170.38,447.21,101.37,40.6,NoIssue
MID11210,model2,17,46.79,40.05,50.0,47.5,15.0,14.16,error1,error4,60.0,50.0,71.25,64.71,24.93,Component3,Component3,18.38,62.57,26.08,23.44,12.86,Component3,Component3,240.48,641.85,152.32,63.79,113.5,223.37,58.55,21.82,171.14,446.19,101.19,40.4,ComponentRepair
